run_id,event_count,event_types,source_log_sha256,projection_sha256,attempt_status,source_manifest_sha256
CB08-T11-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",720e87e94ebfac4f42095297684cc3f470cbc4093824607b08acba521d9bda0d,3321ad33b9fdc2ae0fea8815e6c16d4980b9f8f33871f532da82e6b0cd66a6f0,scored,67349fc5d927957434f8ee85e43ccd81d4d947a7cf425550dbfd871f869569bd
CB08-T11-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",b76a40dfdb79fbb70d66c4587cf45cadbe2fd8aca954f87e1514bd72e7b86268,792e7cc304211b552314dcb8d10f1685683c7d249914eebd06d54cb194e65e37,scored,169ecffa9edea3d0f2d34cff66b3aef88835a847caffa9909d12be1e9549cbbe
CB08-T11-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",d12d07d7ab365d8de695931aecb9cd4c983ebf437bf94c7a176007b315f757ad,65314db335049b7eecee7bf668b1db90d7dc1a2d256a7bce6729c13f71313527,scored,1800c6eb83ad64ea9c3801333927a1f286181c87db767f2e4ea189c4e7353a4d
CB08-T11-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",5a388e8fde0359c273b6bf6d5e989cdc0d004b10e286dfe4dcc869b4873108e9,bdefa9788caf3d23f5f56e7a9b03664717bb327874819934a8e308be6f6e94f8,scored,8a5eb878a3499a5da2c9b4415ec63450f425490326b81ab71856c4d796f908b3
CB08-T11-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",766e335d0b5bd78f9d1dfbfe910e86b472647d07832bc8ea1b53becef18c6156,324ad57bb606d8b64196f886d56857f0c3ff3dd96ad8c31c45058706b310d068,scored,f22eeb03cfb6062aa1d30ee668021f85ba2835a33bf40faa80721492ccb38c80
CB08-T12-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",8a6eb1ac9cf20a0c9674f1c313ae12c1ddd4cbbbf9d4791fac2a6ba32d8cd236,86fe51733418af9e9bb735b1cf223f08d3fd75ce71b26e81beeb6309b918c0db,scored,0066ecc1512aa220a083d09a3fba4faf288d9016237119942810fe89f0bd3a4a
CB08-T12-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",7b09ca616c093a2d2ece5801c26bd7573f37109b19706e1038f343dccf102d03,e770afb027c67b9f7a11d668bdcafe73d64d0f63e8c94e6adcbcaf33f3472e05,scored,2bfb598808224ed37c2ae96887a7fe6299a7afae54f61a113837d3d7dddab5d4
CB08-T12-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",3ba0863ff308386b120e27877fe31aea8a0dc8cb252571df159c2af7b5672d73,99065acc995f873f52cc2fe020149e490b777aa3e356467d90ab4c03caf3ac83,scored,ef30c2c934de8d20e1f99f4de178f73f713dc0ee8898692382d9fca1d42eb5db
CB08-T12-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",70a8eb12298e322e40c533d7f3bd252fd6cc4370a9843fc3cee99bcc60996919,205b8da3b31b34b19a4300716a29682e7493d760d523bcec5420b446e5d4395b,scored,ed916b2691b5a3f7302acbd97cc32d90a28b6f94c46c7fa30b43c7aa32e534bd
CB08-T12-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",ce734ef875c05540433be7efe37a09138f59bc648c291914258371bf3ce0b132,c001a74e2c95556523522b63b103a09de35b713a084b3fbd02428359f53759ea,scored,27daf67906b7850a02287d157cba27a736cd6bc23727bcfd2022a5a07075478f
CB08-T12-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",edf8fd7997a0e18832e4417ab6cf54a099a0ebe976c1a622ce87923f4a867550,d5e9b0a83c73498642e49c54310556be3eb591c616d114e4af954883289d9d02,scored,1203278e31e7da92af0e183f55b06a75a141d0d80944f14c7c8b5ef55efb4c16
